,t,volume,open,close,high,low
0,1533142800,447279,4.9031649,4.7820991,4.9031649,4.7215662
1,1533229200,477156,4.7820991,4.842632,4.9031649,4.7820991
2,1533488400,449796,4.842632,4.7820991,4.9031649,4.7820991
3,1533574800,260522,4.7820991,4.7820991,4.842632,4.7215662
4,1533747600,628308,4.9031649,4.9031649,4.9636978,4.842632
5,1533834000,449791,4.9031649,4.9031649,4.9636978,4.842632
6,1534093200,2186951,4.9031649,5.3268952,5.3268952,4.9031649
7,1534179600,631788,5.3268952,5.2058294,5.3268952,5.1452965
8,1534266000,732145,5.2058294,5.0847636,5.2663623,5.0242307
9,1534352400,879805,5.0242307,5.0242307,5.1452965,4.9031649
10,1534438800,672089,5.0847636,5.0242307,5.2058294,5.0242307
11,1534698000,393034,5.0242307,5.0847636,5.0847636,5.0242307
12,1534784400,787133,5.0847636,5.2058294,5.2058294,5.0847636
13,1534870800,723314,5.2058294,5.1452965,5.3268952,5.0847636
14,1534957200,478437,5.2058294,5.1452965,5.2058294,5.0847636
15,1535043600,539394,5.0847636,5.0847636,5.1452965,5.0242307
16,1535302800,10847768,5.0847636,5.1452965,5.2663623,5.0242307
17,1535389200,1294555,5.2058294,5.2663623,5.3874281,5.2058294
18,1535475600,427343,5.2663623,5.2663623,5.3268952,5.2058294
19,1535562000,457794,5.2663623,5.2058294,5.2663623,5.1452965
20,1535648400,664612,5.1452965,5.1452965,5.3268952,5.1452965
21,1535994000,627981,5.1452965,5.0242307,5.2058294,5.0242307
22,1536080400,671683,5.0242307,5.0242307,5.0847636,4.9636978
23,1536166800,429095,5.0242307,4.9636978,5.0242307,4.9031649
24,1536253200,417826,4.9636978,5.0242307,5.0847636,4.9031649
25,1536512400,262218,5.0847636,4.9636978,5.0847636,4.9636978
26,1536598800,487087,5.0242307,5.0242307,5.0847636,4.9636978
27,1536685200,653691,5.0847636,5.0242307,5.1452965,5.0242307
28,1536771600,8261564,5.0242307,5.0847636,5.1452965,5.0242307
29,1536858000,3769095,5.1452965,5.1452965,5.1452965,5.0847636
30,1537117200,418228,5.1452965,5.0242307,5.1452965,5.0242307
31,1537203600,1534852,5.0242307,5.0847636,5.1452965,4.9636978
32,1537290000,1632425,5.1452965,5.2058294,5.3268952,5.0242307
33,1537376400,639438,5.2058294,5.2663623,5.3268952,5.1452965
34,1537462800,2325055,5.2663623,5.3874281,5.447961,5.2663623
35,1537722000,776739,5.3874281,5.3874281,5.447961,5.3268952
36,1537808400,708204,5.3874281,5.3268952,5.3874281,5.2663623
37,1537894800,1002577,5.3268952,5.3268952,5.3874281,5.2663623
38,1537981200,1901184,5.3874281,5.447961,5.5084939,5.3268952
39,1538067600,1119489,5.447961,5.5084939,5.6295597,5.447961
40,1538326800,1394067,5.5690268,5.447961,5.6295597,5.447961
41,1538413200,1014478,5.447961,5.3874281,5.5084939,5.3874281
42,1538499600,757892,5.3874281,5.447961,5.5084939,5.3268952
43,1538586000,575835,5.447961,5.5084939,5.5690268,5.3874281
44,1538672400,884163,5.5084939,5.3874281,5.5084939,5.3268952
45,1538931600,754335,5.3874281,5.3268952,5.3874281,5.2663623
46,1539018000,518285,5.3268952,5.2663623,5.3874281,5.2663623
47,1539104400,834361,5.2663623,5.2058294,5.3268952,5.1452965
48,1539190800,2140104,5.1452965,4.7820991,5.1452965,4.7820991
49,1539277200,1083854,4.7820991,5.0242307,5.0242307,4.6610333
50,1539536400,316376,5.0242307,4.9031649,5.0242307,4.9031649
51,1539622800,362684,4.9031649,4.9636978,5.0242307,4.842632
52,1539709200,537073,5.0242307,5.0242307,5.0847636,4.9636978
53,1539795600,367640,4.5399675,4.9031649,5.0242307,4.5399675
54,1539882000,705509,4.9031649,4.9031649,4.9636978,4.7820991
55,1540141200,530677,4.9636978,4.842632,4.9636978,4.842632
56,1540227600,911438,4.842632,4.7820991,4.842632,4.6610333
57,1540314000,438889,4.7820991,4.7215662,4.842632,4.7215662
58,1540400400,851748,4.6610333,4.6610333,4.7215662,4.4794346
59,1540486800,534676,4.7215662,4.6005004,4.7820991,4.6005004
60,1540746000,418385,4.6005004,4.5399675,4.6610333,4.5399675
61,1540832400,712548,4.5399675,4.5399675,4.6005004,4.4189017
62,1540918800,527082,4.5399675,4.6610333,4.7215662,4.5399675
63,1541005200,370960,4.6610333,4.6005004,4.7215662,4.5399675
64,1541091600,531685,4.6005004,4.6610333,4.7215662,4.6005004
65,1541350800,343088,4.6610333,4.6610333,4.7215662,4.6005004
66,1541437200,293571,4.6610333,4.6005004,4.7215662,4.6005004
67,1541523600,299763,4.6005004,4.6005004,4.6610333,4.5399675
68,1541610000,482221,4.6610333,4.6005004,4.7215662,4.5399675
69,1541696400,477975,4.6005004,4.5399675,4.6005004,4.4794346
70,1541955600,301099,4.5399675,4.5399675,4.5399675,4.4189017
71,1542042000,273540,4.4794346,4.4794346,4.5399675,4.4189017
72,1542128400,431679,4.4794346,4.3583688,4.5399675,4.3583688
73,1542214800,290347,4.4189017,4.3583688,4.4794346,4.3583688
74,1542301200,410041,4.4189017,4.4794346,4.5399675,4.3583688
75,1542560400,285874,4.5399675,4.5399675,4.6005004,4.4794346
76,1542646800,231067,4.6005004,4.5399675,4.6005004,4.4794346
77,1542733200,181603,4.4794346,4.5399675,4.5399675,4.4794346
78,1542819600,397206,4.6005004,4.5399675,4.6005004,4.4794346
79,1542906000,174929,4.5399675,4.4794346,4.5399675,4.4189017
80,1543165200,79198,4.4794346,4.4189017,4.4794346,4.4189017
81,1543251600,302275,4.4794346,4.4189017,4.4794346,4.4189017
82,1543338000,308928,4.4189017,4.4794346,4.4794346,4.4189017
